ID,Type,position-X,position-Y
0,reference,371385.7458780118,140130.7492228429
1,building,371680.30670220597,140313.55521604643
2,building,371597.8859514985,140239.23838674088
3,building,371472.18576651835,140425.46219146103
4,building,371766.1335318272,140473.73558461692
5,building,371403.4923000867,140343.4516049613
6,building,371754.06977524975,140162.65105261584
7,building,371660.82094066177,140169.44064469135
8,building,371372.04904989974,140286.98797821443
9,building,371433.10044861963,140235.85033939313
10,building,371264.79732778703,140342.9146117776
11,building,371300.7876449614,140201.91152682833
12,building,371361.83905865625,140150.77389080936
13,building,371239.73621927464,140253.04917289192
14,building,371399.02162930724,140338.11423662462
15,building,371507.7972285422,140240.79997829758
16,building,371477.9170045472,140432.30450436985
17,building,371598.7269699414,140322.78913032904
18,building,371762.69258429855,140305.04803524748
19,building,371592.91057256423,140516.97682207255
20,building,371680.14273325994,140396.19975807052
21,building,371560.83701296576,140531.29963267266
22,building,371917.2069540962,140459.98004356193
23,junction,371682.31625356275,140477.0517045756
24,junction,371803.90291182685,140342.2064065202
25,junction,371870.8549923623,140267.9535380095
26,junction,371721.55199014116,140433.5374850419
27,junction,371362.73336653324,140294.79094524484
28,junction,371512.96017291176,140474.1411846191
29,junction,371437.84675544256,140384.4661173883
30,junction,371468.9786292604,140205.79818472386
31,junction,371721.48224537313,140267.88965369834
32,junction,371639.06150808715,140193.5728370088
33,junction,371605.0985235203,140396.9645187733
34,junction,371788.43431155116,140193.63674730744
35,junction,371639.1312418171,140359.22068658954
36,junction,371556.71043771825,140284.90388899652
37,junction,371356.602649175,140452.51754715518
38,junction,371706.01364603906,140119.3199704002
39,junction,371920.389272788,140312.61745200818
40,junction,371986.5713860457,140415.26482337888
41,junction,371786.83545318234,140544.0229727849
42,junction,371820.2185700639,140522.50275753945
43,junction,371662.1734767193,140611.14725587287
44,junction,371528.4560628956,140657.68690241335
45,junction,371210.2277392013,140277.7659455617
